Node	PosxNode	PosyNode	Name	Lines
3031	446184	4472579	INTERCAMBIADOR PAVONES	20/1 20/2
3032	438562	4471813	GRAL.RICARDOS-EL TOBOSO	34/1 35/1 118/1 119/1 526/1
3033	438323,5	4471049	Cº VIEJO LEGANES-AV.OPORTO	118/1 516/1
3034	438340,7	4471057	Cº VIEJO LEGANES-AV.OPORTO	118/2 516/2
3035	446196	4472564	INTERCAMBIADOR PAVONES	144/1 144/2
3036	438108,6	4470645	Cº VIEJO LEGANES-FALCINELO	118/1 516/1
3037	438107,4	4470621	Cº VIEJO LEGANES-FALCINELO	118/2 516/2
3038	438012,3	4470495	Cº VIEJO LEGANES-WENCESLAO	118/1
3039	437999,8	4470447	Cº VIEJO LEGANES-WENCESLAO	118/2
3040	437874	4470253	Cº VIEJO LEGANES-CARCASTILLO	118/1 516/1
3041	437876,7	4470234	Cº VIEJO LEGANES-CARCASTILLO	118/2 516/2
3042	446176	4472516	INTERCAMBIADOR PAVONES	32/1 32/2
3043	437256	4470331	MARIA ODIAGA-PADRE AMIGO	108/1
3044	437136	4470277	MARIA ODIAGA-WITERICO	108/1
3045	437020,9	4470124	MARIA ODIAGA-PIEDRAHITA	108/1
3047	439216,4	4476372	ARCIPRESTE HITA-FERNANDO EL CATOLICO	82/2 132/2
3048	436644	4469511	GUAYABA-AGUACATE-CENTRO DE SALUD	108/1 118/1 516/1
3050	436917,6	4469246	AGUACATE-SECOYA	108/1 118/1 516/1
3051	436865,9	4469297	AGUACATE-SECOYA	108/2 118/2 516/2
3054	436901,2	4469895	Pº CASTELLANOS-MARIA ODIAGA	108/2
3055	436853,6	4469973	ALBA TORMES-FEDERICO GRASES	108/2
3056	436952	4470128	ALBA TORMES-EPOCA	108/2
3057	437047,3	4470254	ALBA TORMES-WITERICO	108/2
3060	438410,2	4471329	Cº VIEJO LEGANES-VALLE ORO	118/2
3061	438555,4	4471560	Cº VIEJO LEGANES-ALEJANDRO SANCHEZ	118/2
3062	438695	4471840	Cº VIEJO LEGANES-GRAL.RICARDOS	118/2
3063	444281	4475607	RICARDO ORTIZ Nº 32	110/1 210/1
3064	444301	4475594	RICARDO ORTIZ Nº 27	110/2 210/2
3065	444300	4475370	RICARDO ORTIZ-SAN EMILIO	110/1 210/1
3066	444303,9	4475450	RICARDO ORTIZ-SAN EMILIO	110/2 210/2
3067	444346	4475193	RICARDO ORTIZ-SAN SECUNDINO	110/1 210/1
3068	444353	4475213	RICARDO ORTIZ-SAN SECUNDINO	110/2 210/2
3069	444981	4475503	STA.FELICIDAD-IGLESIA	110/1 113/2 210/1
3070	445038	4475487	STA.FELICIDAD Nº 1-IGLESIA	110/2 113/1 210/2
3071	444903	4475257	STA.FELICIDAD Nº 32	110/1 113/2 210/1
3072	444921	4475255	STA.FELICIDAD Nº 41	110/2 113/1 210/2
3073	444812	4475026	JOSE LUIS ARRESE-STA.GENOVEVA	110/1 113/2 210/1
3074	444830	4475039	JOSE LUIS ARRESE-STA.GENOVEVA	110/2 113/1 210/2
3075	439583	4469378	LEIZA-AV.RAFAELA YBARRA	60/1
3076	444780	4474718	STA.IRENE-SAN LAMBERTO	110/1 113/2 210/1
